#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,6217287,5,0.530067,0.43,0.12,0.09,2.078,222,1.66,2.26,1
,6225979,1,0.597895,0.62,0.2,0.23,1.029,185,-0.22,-0.77,1
,6226117,5,0.23866,0.68,0.23,0.25,1.045,188,0.77,-0.55,1
,6231902,1,0.601952,0.47,0.15,0.19,2.028,217,-0.22,-1.1,1
,6235138,1,0.607108,0.6,0.18,0.14,2.436,46,-0.86,-0.26,2
,6243686,5,0.242433,0.59,0.2,0.24,2.009,226,0.66,-0.72,1
,6244025,5,0.244601,0.35,0.11,0.14,1.407,195,0.4,-0.95,1
,6244503,5,0.452321,0.31,0.1,0.13,1.95,235,0.13,-0.52,1
,6246025,1,0.518939,0.68,0.22,0.26,1.868,225,-0.61,-0.52,1
,6248770,1,0.486013,0.9,0.3,0.35,2.198,516,-0.39,0.69,1
,6252703,2,0.370673,0.42,0.14,0.19,1.1,472,-0.09,-1.16,1
,6257591,1,0.532915,0.72,0.23,0.28,2.782,482,-0.87,-0.16,1
,6258114,5,0.35178,0.36,0.12,0.15,2.01,478,0.86,-0.2,1
,6266717,1,0.591497,0.61,0.2,0.26,2.1,541,-0.26,-1.19,1
,6269257,5,0.453901,0.36,0.11,0.13,2.26,525,0.94,0.67,2
,6270279,1,0.472312,1.19,0.38,0.29,2.235,233,1.36,6.35,1
,6271556,5,0.321348,0.47,0.17,0.22,1.743,552,0.72,0.2,1
,6271970,5,0.240462,0.52,0.17,0.21,0.822,463,0.71,-0.26,1
,6276308,1,0.5228,0.96,0.31,0.4,1.894,512,-0.69,-0.72,1
,6277201,1,0.653546,0.36,0.12,0.15,0.782,530,-0.07,-0.82,1
,6279070,5,0.262989,0.71,0.24,0.23,0.61,205,0.91,1.62,3
,6281146,5,3.369586,0.49,0.14,0.13,1.199,509,1.7,2.82,2
,6281881,4,0.613931,0.6,0.22,0.26,2.459,118,0.95,-0.37,1
,6282624,5,0.387936,0.39,0.13,0.14,0.48,230,0.28,-0.29,1
,6282701,5,0.302479,0.73,0.24,0.29,1.227,228,0.81,-0.55,1
,6284132,1,0.658707,0.69,0.23,0.29,1.372,213,-0.66,-0.75,1
,6288130,5,0.257555,0.59,0.18,0.19,0.5,223,0.79,-0.2,1
,6290048,2,0.293791,0.5,0.17,0.23,0.751,228,0.07,-0.98,1
,6290507,1,0.557552,0.77,0.25,0.25,1.804,214,-1.12,0.92,1
,6290968,1,0.613436,0.52,0.17,0.21,1.526,213,-0.34,-1.0,1
,6296545,1,0.637063,0.35,0.12,0.15,1.028,262,0.11,-1.11,1
,6299726,1,0.611685,0.73,0.25,0.31,1.598,206,-0.28,-0.79,1
,6311319,1,0.612472,0.87,0.26,0.26,1.7,178,-0.55,-0.51,1
,6312334,5,0.290267,0.63,0.22,0.29,2.059,219,0.66,-0.97,1
,6312625,5,0.608863,0.39,0.12,0.13,1.626,209,1.0,0.03,1
,6333023,5,0.344578,0.49,0.17,0.22,2.649,521,0.46,-0.77,1
,6341389,5,0.251644,0.45,0.14,0.18,0.832,592,0.43,-0.21,1
,6342127,5,0.311017,0.42,0.13,0.17,1.827,591,0.49,-0.81,1
,6344529,4,0.53655,0.38,0.11,0.15,0.901,543,1.27,0.88,1
,6346477,2,0.300808,0.45,0.16,0.2,1.931,603,-0.06,-1.5,1
,6348779,5,0.257718,0.46,0.14,0.18,1.026,550,0.65,-0.28,1
,6350672,5,0.274308,0.58,0.2,0.27,2.689,528,0.28,-1.27,1
,6355447,5,0.252804,0.7,0.23,0.29,1.921,472,0.91,-0.46,1
,6357779,5,0.271737,0.66,0.21,0.28,2.288,574,0.79,-0.62,1
,6357908,5,0.347695,0.52,0.17,0.23,2.376,578,0.57,-0.92,1
,6358688,5,0.243286,0.69,0.22,0.25,2.573,480,1.18,0.6,1
,6370739,5,0.384529,0.49,0.15,0.17,2.436,631,0.79,0.01,1
,6375464,1,0.684104,0.54,0.18,0.24,1.697,539,-0.23,-1.06,1
,6387245,7,257.003296,1.44,0.49,0.57,3.858,558,-0.19,-0.68,1
,6389240,5,0.292717,0.36,0.12,0.16,1.252,473,0.34,-1.01,1
,6389320,5,0.313051,0.41,0.14,0.18,1.703,602,0.51,-0.9,1
,6398114,5,0.250174,0.7,0.23,0.31,1.658,382,0.55,-0.95,1
,6399371,2,0.284602,0.45,0.16,0.21,1.315,562,0.09,-1.31,1
,6405008,5,0.29418,0.46,0.16,0.22,2.409,362,0.39,-1.1,1
,6429965,1,0.532696,0.86,0.27,0.32,2.445,346,-0.99,-0.12,1
,6440518,0,-9.9,0.45,0.16,0.22,0.715,36,-0.57,-1.0,1
,6445513,1,0.546551,0.91,0.29,0.33,2.454,303,-0.82,-0.5,1
,6446092,0,-9.9,0.57,0.18,0.2,2.666,354,0.88,0.69,1
,6448022,1,0.56232,1.01,0.32,0.37,1.509,345,-0.47,-0.74,1
,6449103,1,0.502241,0.79,0.27,0.37,2.732,295,-0.53,-0.96,1
,6456166,5,0.249544,0.36,0.12,0.16,1.586,271,0.67,-0.8,1
,6457808,1,0.65323,0.77,0.25,0.33,1.179,285,-0.14,-0.95,1
,6458963,5,0.255817,1.05,0.34,0.32,0.885,218,1.58,3.55,2
,6460125,1,0.521283,0.94,0.31,0.36,1.686,280,-0.58,-0.87,1
,6461827,5,0.279447,0.33,0.11,0.14,1.51,197,0.61,-0.9,1
,6466601,2,0.314617,0.53,0.18,0.18,0.661,269,-0.04,0.77,1
,6468124,5,0.234993,0.55,0.19,0.22,1.004,291,1.37,2.77,1
,6470328,1,0.600423,0.65,0.2,0.25,0.926,292,-0.31,-0.92,1
,6473589,0,-9.9,0.67,0.21,0.24,2.328,134,-0.76,-0.38,1
,6483431,2,0.342821,0.41,0.14,0.2,0.895,183,0.04,-1.28,1
,6485856,5,0.260526,0.56,0.18,0.23,2.402,324,0.74,-0.63,1
,6487705,2,0.287057,0.33,0.11,0.11,2.237,229,0.23,1.2,1
,6499162,4,0.550116,0.44,0.12,0.11,0.937,310,1.9,4.14,2
,6500817,5,0.283411,0.38,0.12,0.13,0.775,128,0.42,-0.44,2
,6509278,1,0.581213,0.71,0.25,0.26,1.178,319,1.06,6.85,1
,6514160,0,-9.9,0.32,0.1,0.1,2.085,317,2.23,5.41,1
,6514346,0,-9.9,0.33,0.1,0.12,0.542,254,-0.33,-0.48,1
,6523187,5,0.378643,0.64,0.22,0.25,0.906,331,0.89,0.98,1
,6523661,5,0.259011,0.32,0.1,0.12,1.262,320,-0.09,0.04,1
,6525578,5,0.37319,0.8,0.27,0.32,2.324,297,0.56,-0.86,1
,6527568,5,0.335556,0.46,0.16,0.21,1.893,263,0.49,-0.99,1
,6532768,2,0.402106,0.41,0.14,0.19,2.136,331,-0.22,-1.28,1
,6532857,5,0.226226,0.6,0.2,0.26,1.443,335,0.87,-0.43,1
,6537532,5,0.26867,0.67,0.22,0.27,2.067,218,0.68,-0.79,1
,6540259,5,0.291937,0.68,0.21,0.25,1.11,276,0.91,-0.09,1
,6543801,5,0.319538,0.77,0.24,0.31,2.293,259,0.72,-0.58,1
,6548619,5,0.428533,0.47,0.15,0.19,2.155,247,0.61,-0.65,1
,6549937,5,0.278682,0.36,0.12,0.16,1.842,215,0.45,-0.87,1
,6553432,1,0.549349,0.85,0.26,0.26,1.086,271,-0.51,0.12,1
,6553731,1,0.591985,0.61,0.18,0.21,1.207,255,-0.69,-0.39,1
,6566365,4,0.797002,0.62,0.19,0.21,1.689,298,1.81,2.5,1
,6570390,1,0.559639,0.64,0.2,0.25,1.232,281,-0.32,-0.53,1
,6571949,5,0.231582,0.54,0.18,0.21,0.737,276,0.95,0.6,1
,6572432,1,0.693681,0.86,0.28,0.33,1.249,105,0.22,-0.44,2
,6573810,4,1.931048,0.5,0.15,0.09,1.372,301,2.27,4.28,2
,6576323,5,0.326088,0.43,0.14,0.18,2.361,503,0.43,-0.99,1
,6577281,4,0.556524,0.9,0.29,0.38,2.034,296,1.63,1.31,1
,6582265,1,0.691749,0.54,0.18,0.23,2.323,282,-0.14,-1.16,1
,6582761,1,0.516722,0.8,0.24,0.15,1.423,58,-0.81,0.87,3
,6591356,1,0.568949,0.54,0.16,0.16,2.296,67,0.61,0.53,3
,6599292,0,-9.9,0.38,0.12,0.13,2.191,183,0.81,0.49,1
,6600478,2,0.277078,0.4,0.13,0.16,0.98,291,-0.1,-0.94,1
,6605301,2,0.343661,0.45,0.17,0.23,1.315,221,0.0,-1.28,1
,6607874,4,0.979388,0.4,0.11,0.07,1.214,238,2.6,6.59,2
,6611209,2,0.285337,0.37,0.12,0.14,0.813,210,0.04,-0.67,1
,6617372,1,0.554016,0.89,0.28,0.28,0.877,219,0.62,0.45,1
,6617807,5,0.266885,0.36,0.12,0.15,1.063,222,0.61,-0.5,1
,6617944,1,0.487507,0.79,0.25,0.28,1.204,183,-0.36,-0.44,1
,6620225,1,0.557414,0.54,0.17,0.2,1.863,222,-0.49,-0.62,1
,6621105,1,0.637903,0.87,0.28,0.28,1.102,213,-0.3,-0.22,2
,6621482,5,0.248638,0.65,0.21,0.25,1.033,201,0.91,-0.27,1
,6622123,1,0.522766,0.97,0.31,0.32,1.29,183,0.41,1.11,1
,6627676,5,0.295902,0.63,0.21,0.22,0.67,216,0.61,0.97,1
,6629991,1,0.594228,0.74,0.24,0.27,1.697,232,-0.63,-0.22,1
,6642292,5,0.27166,0.51,0.16,0.23,1.423,489,0.98,-0.17,1
,6644198,5,0.30488,0.49,0.16,0.2,1.334,466,0.58,-0.8,1
,6647540,4,0.640985,0.6,0.21,0.19,2.167,475,2.73,9.54,1
,6649325,1,0.603157,0.73,0.24,0.32,2.283,507,-0.26,-1.26,1
,6651516,2,0.308487,0.39,0.14,0.19,1.557,426,-0.09,-1.34,1
,6655187,1,0.60656,0.49,0.16,0.21,1.845,487,-0.39,-0.93,1
,6660642,0,-9.9,2.32,0.74,0.65,3.796,458,-1.1,-0.09,1
,6665721,1,0.64332,0.5,0.16,0.2,0.944,536,0.16,-0.15,1
,6667926,5,0.282663,0.64,0.24,0.31,2.047,541,1.46,3.87,1
,6668961,2,0.281347,0.52,0.19,0.22,0.952,465,1.0,4.57,1
,6676697,5,0.379714,0.3,0.1,0.14,1.691,152,0.05,-1.28,1
,6677784,5,0.236208,0.47,0.16,0.2,1.923,231,0.75,-0.74,1
,6678883,5,0.339872,0.36,0.12,0.16,1.902,256,0.47,-0.97,1
,6679895,4,0.655928,0.72,0.21,0.13,0.766,210,2.38,6.13,2
,6681275,1,0.575905,0.64,0.22,0.28,1.808,222,-0.39,-1.1,1
,6685059,5,0.251995,0.56,0.18,0.18,2.002,102,0.97,-0.24,1
,6694407,1,0.547791,0.86,0.29,0.36,1.192,170,-0.07,-1.15,1
,6695255,1,0.583548,0.45,0.15,0.19,1.949,183,-0.55,-0.92,1
,6698387,1,0.575995,0.72,0.25,0.28,2.285,70,-0.74,-0.83,1
,6701509,1,0.558926,0.72,0.23,0.3,2.195,537,-0.6,-0.81,1
,6701688,1,0.650407,0.35,0.11,0.14,1.989,618,-0.51,-0.64,1
,6710932,5,0.343706,0.46,0.15,0.18,0.916,650,1.36,4.64,1
,6711303,2,0.416364,0.36,0.11,0.14,1.07,620,-0.41,0.52,1
,6715240,4,0.742873,0.43,0.15,0.12,1.099,622,3.32,12.0,1
,6716231,5,0.248345,0.37,0.12,0.16,0.496,599,0.29,-0.87,1
,6717083,5,0.248733,0.37,0.12,0.16,1.669,580,0.43,-0.69,1
,6726468,1,0.508605,1.13,0.38,0.5,1.861,610,-0.28,-1.27,1
,6729261,2,0.279962,0.36,0.11,0.14,1.008,625,-0.08,-0.03,1
,6737498,5,0.27703,0.63,0.21,0.27,0.817,580,0.85,-0.17,1
,6739098,5,0.370905,0.58,0.19,0.24,2.051,579,0.91,-0.29,1
,6747445,1,0.455023,1.0,0.31,0.35,2.586,613,-1.13,0.16,1
,6748413,2,0.320906,0.49,0.17,0.23,1.409,567,0.06,-1.29,1
,6748683,1,0.519366,0.64,0.23,0.28,1.842,35,-0.72,-0.96,3
,6752616,5,0.299096,0.52,0.17,0.22,2.028,604,0.64,-0.72,1
,6756657,1,0.514876,0.83,0.27,0.34,2.304,599,-0.86,-0.41,1
,6765858,5,0.285304,0.67,0.23,0.3,2.337,411,0.65,0.03,1
,6777823,1,0.687416,0.46,0.14,0.18,0.731,544,-0.21,-0.69,1
,6791774,1,0.591332,0.61,0.2,0.19,0.75,124,0.22,2.16,1
,6791882,5,0.23749,0.5,0.17,0.21,1.133,318,0.62,-0.66,1
,6793815,1,0.51945,0.64,0.22,0.23,1.116,379,-0.96,1.07,1
,6795887,5,0.228126,0.51,0.18,0.22,0.627,313,0.8,1.17,1
,6801367,5,0.34637,0.39,0.12,0.16,1.642,234,0.72,-0.62,1
,6803937,1,0.670352,0.64,0.2,0.22,2.566,301,-0.65,-0.34,1
,6805826,2,0.385903,0.35,0.12,0.17,1.8,314,0.13,-1.42,2
,6811624,5,0.403373,0.51,0.16,0.17,2.199,314,1.3,2.3,1
,6811940,0,-9.9,0.43,0.13,0.13,2.331,324,1.19,0.81,1
,6819457,2,0.436282,0.87,0.28,0.3,2.426,325,-0.71,-0.1,2
,6822237,5,0.611965,0.47,0.15,0.19,0.719,296,0.72,-0.55,1
,6831710,1,0.555005,0.73,0.22,0.28,1.702,310,-0.33,-0.8,1
,6834724,2,0.384744,0.44,0.16,0.22,1.508,299,-0.27,-1.34,1
,6837232,1,0.553222,0.79,0.26,0.33,2.675,339,-0.4,-1.08,1
,6837981,2,0.335414,0.45,0.15,0.18,0.776,284,0.13,-0.85,2
,6838331,4,0.45906,0.53,0.17,0.18,0.766,430,1.84,3.67,1
,6838366,2,0.38284,0.56,0.17,0.21,1.617,292,-0.51,-0.62,2
,6838786,5,0.237615,0.57,0.19,0.26,1.635,434,0.54,-1.0,1
,6844511,1,0.591019,1.05,0.34,0.4,1.951,241,-0.64,-0.75,1
,6856350,1,0.512835,0.7,0.21,0.18,1.757,161,-1.16,1.07,1
,6868167,5,0.419564,0.47,0.14,0.12,1.011,107,0.89,1.27,1
,6868821,5,0.28934,0.29,0.35,0.11,1.86,232,7.97,69.54,1
,6879877,5,0.267085,0.6,0.21,0.25,1.118,279,1.08,1.67,1
,6880106,5,0.319514,0.62,0.21,0.26,1.239,255,0.56,-0.71,1
,6880426,0,-9.9,1.27,0.39,0.28,2.701,260,1.32,1.5,1
,6881740,0,-9.9,0.36,0.11,0.12,0.629,291,-0.06,-0.2,1
,6882787,0,-9.9,0.39,0.13,0.14,0.813,67,-0.55,-0.52,1
,6883239,1,0.563707,0.62,0.21,0.24,2.439,305,-0.64,-0.02,1
,6888272,2,0.354721,0.44,0.14,0.18,0.585,302,0.37,-0.39,1
,6891654,2,0.358882,0.43,0.13,0.17,2.483,302,-0.08,-0.91,1
,6894439,5,0.228334,0.47,0.15,0.17,0.545,337,0.57,0.04,1
,6895204,5,0.207166,0.32,0.11,0.13,0.485,330,0.3,-0.34,1
,6895456,1,0.644057,0.82,0.26,0.29,1.357,291,-0.34,-0.67,1
,6903600,5,0.233927,0.68,0.23,0.23,0.726,298,1.25,2.82,1
,6905120,5,0.269003,0.75,0.24,0.28,2.094,301,1.09,0.05,1
,6905999,4,4.009712,0.48,0.14,0.08,1.351,327,2.52,7.5,1
,6906818,2,0.290652,0.38,0.14,0.18,2.107,355,-0.15,-1.3,1
,6908253,0,-9.9,0.5,0.17,0.17,0.69,61,-0.14,0.31,1
,6911545,1,0.581295,0.62,0.21,0.3,2.564,208,-0.51,-1.22,1
,6918683,2,0.344069,0.47,0.16,0.23,1.455,268,-0.06,-1.35,1
,6919278,1,0.615668,0.41,0.12,0.14,1.877,268,-0.93,-0.01,1
,6920693,5,0.246371,0.36,0.12,0.15,1.108,297,0.7,-0.58,1
,6925923,2,0.279994,0.46,0.16,0.2,1.088,264,-0.16,-1.25,1
,6934885,1,0.483039,0.77,0.24,0.27,1.551,274,-0.52,-0.52,1
,6940671,0,-9.9,0.44,0.17,0.11,0.532,212,1.09,7.93,1
,6946184,5,0.37463,0.38,0.12,0.11,0.692,270,1.3,2.12,1
,6946624,5,0.385837,0.36,0.12,0.13,0.879,259,0.4,-0.38,1
,6957907,5,0.34174,0.42,0.15,0.18,1.091,330,0.55,0.59,1
,6958952,2,0.353398,0.53,0.16,0.18,1.131,432,0.06,0.59,1
,6960146,1,0.629772,0.37,0.21,0.16,1.92,476,10.53,172.95,1
,6963982,5,0.31181,0.41,0.13,0.17,0.94,501,0.53,-0.75,1
,6967017,1,0.529689,0.65,0.22,0.27,2.338,323,-0.63,-0.71,1
,6967477,5,0.250803,0.63,0.21,0.3,1.507,279,0.7,-0.9,1
,6973516,5,0.274647,0.33,0.11,0.14,0.816,296,0.09,-0.93,1
,6973857,7,126.582199,0.72,0.24,0.32,2.315,311,0.44,-1.0,1
,6981499,2,0.354037,0.55,0.17,0.17,0.56,240,0.68,0.62,1
,6987875,1,0.548309,0.83,0.27,0.33,1.846,235,-0.51,-0.95,1
,6988765,1,0.495851,0.92,0.3,0.38,2.369,154,-0.26,-1.08,1
,6988827,5,0.275115,0.58,0.2,0.24,0.771,190,0.51,0.29,1
,6991031,5,0.265663,0.77,0.25,0.22,1.144,181,1.03,1.12,2
,6991135,5,0.299958,0.76,0.25,0.31,2.68,180,0.86,-0.47,1
,7003637,1,0.511451,0.77,0.24,0.26,2.723,187,-1.15,0.23,1
,7004605,0,0.589182,0.53,0.16,0.14,0.634,202,1.38,1.92,1
,7008076,4,1.162766,0.53,0.16,0.09,1.684,193,2.39,5.01,1
,7020234,5,0.305714,0.2,0.1,0.09,1.018,558,5.96,59.02,1
,7024251,1,0.623119,0.87,0.27,0.33,1.852,524,-0.59,-0.61,1
,7037282,5,0.2634,0.71,0.23,0.27,0.797,435,0.88,0.66,1
,7046937,5,0.33903,0.68,0.22,0.27,1.341,563,0.89,-0.39,1
,7048826,2,0.317781,0.51,0.19,0.25,2.137,535,-0.29,-1.39,1
,7051144,5,0.243695,0.61,0.21,0.26,0.985,567,0.88,-0.1,1
,7055103,5,0.264464,0.62,0.2,0.24,2.733,254,0.68,-0.78,1
,7063702,5,0.333437,0.38,0.14,0.2,1.791,81,0.28,-1.38,1
,7064706,1,0.67437,0.75,0.25,0.32,2.037,245,-0.24,-1.15,1
,7065833,1,0.641567,0.46,0.14,0.16,0.675,266,-0.07,-0.51,1
,7066283,4,0.719268,0.37,0.12,0.08,0.807,268,2.7,7.82,2
,7086820,1,0.573675,0.87,0.28,0.31,1.701,266,-0.16,2.53,1
,7087932,5,0.250126,0.55,0.18,0.25,1.313,592,0.58,-0.84,1
,7087963,5,0.292588,0.64,0.21,0.24,0.661,538,0.5,-0.12,1
,7093882,5,0.299731,0.36,0.12,0.15,0.809,325,0.8,1.06,1
,7101581,5,0.253594,0.46,0.15,0.2,1.357,618,0.43,-1.06,1
,7106588,2,0.280295,0.33,0.11,0.14,1.252,662,-0.03,-1.08,1
,7119099,2,0.298875,0.57,0.19,0.23,0.676,369,0.22,-0.57,1
,7119535,1,0.576808,0.63,0.21,0.24,0.878,623,0.21,1.7,1
,7119760,5,0.261562,0.49,0.16,0.2,0.806,207,0.26,-0.92,1
,7124974,1,0.570975,0.67,0.21,0.26,2.486,609,-0.77,-0.35,1
,7124989,1,0.613703,0.72,0.23,0.29,2.072,608,-0.57,-0.73,1
,7129161,1,0.616192,0.56,0.18,0.23,1.544,522,-0.32,-1.0,1
,7131981,1,0.662519,0.67,0.2,0.24,1.925,569,-0.44,-0.57,1
,7136100,7,175.438492,1.73,0.56,0.71,3.874,583,-0.12,-1.08,1
,7139511,2,0.379904,0.39,0.14,0.18,1.325,623,-0.01,-1.29,1
,7152380,1,0.647236,0.69,0.22,0.27,1.319,564,-0.38,-0.68,1
,7155534,5,0.2637,0.33,0.11,0.14,1.625,571,0.48,-0.89,1
,7171221,5,0.322887,0.33,0.11,0.13,1.108,382,0.44,-0.74,1
,7179711,1,0.590962,0.66,0.22,0.3,1.374,399,-0.23,-0.97,1
,7181976,1,0.636289,0.61,0.2,0.24,1.569,188,-0.02,-0.83,1
,7182354,2,0.384083,0.66,0.21,0.26,1.223,307,-0.13,-0.59,1
,7187041,1,0.656368,0.76,0.26,0.27,1.133,317,1.29,7.85,1
,7190746,1,0.774815,0.49,0.31,0.13,1.147,279,5.31,33.53,2
,7206315,1,0.584551,0.69,0.25,0.24,1.087,348,1.94,10.28,1
,7218554,1,0.524931,0.9,0.28,0.31,1.211,283,-0.56,-0.12,1
,7221754,5,0.361855,0.46,0.22,0.13,1.206,261,3.47,14.16,1
,7228591,5,0.319808,0.41,0.13,0.16,1.181,284,0.73,-0.5,1
,7231949,5,0.321475,0.41,0.13,0.17,1.292,132,0.47,-0.94,2
,7238766,5,0.527293,0.37,0.11,0.12,1.752,160,0.37,-0.56,1
,7242732,5,0.355602,0.53,0.17,0.18,0.562,152,0.41,0.26,1
,7243441,5,0.424788,0.65,0.22,0.19,2.252,140,0.98,-0.42,1
,7245118,0,0.633822,0.58,0.21,0.19,0.568,204,0.56,2.74,3
,7246122,4,1.22839,0.41,0.12,0.11,0.725,313,1.55,2.3,2
,7254453,2,0.375776,0.54,0.27,0.16,1.253,213,4.2,30.43,1
,7254801,1,0.561141,0.68,0.21,0.26,1.332,310,-0.35,-0.59,1
,7256279,5,0.264817,0.56,0.19,0.25,1.962,308,0.59,-1.04,1
,7257215,2,0.346211,0.37,0.14,0.2,1.85,209,0.12,-1.58,1
,7260181,2,0.36627,0.47,0.13,0.14,1.782,292,-0.78,0.56,2
,7275492,5,0.319599,0.35,0.11,0.14,1.694,300,0.96,-0.2,1
,7279621,2,0.415465,0.46,0.14,0.16,1.287,324,-0.52,-0.09,1
,7283275,1,0.543342,0.84,0.29,0.36,2.307,297,-0.39,-1.01,1
,7284080,1,0.464172,0.97,0.33,0.41,2.865,325,-0.95,-0.42,1
,7300636,2,0.293006,0.45,0.18,0.21,1.07,200,1.45,7.77,1
,7303928,5,0.350322,0.43,0.15,0.17,1.083,234,0.53,-0.58,1
,7316833,1,0.535065,0.75,0.26,0.33,1.349,188,-0.27,-0.59,1
,7322101,2,0.301991,0.48,0.16,0.2,1.042,244,-0.4,-1.08,1
,7322343,4,1.22839,0.59,0.2,0.26,1.949,243,1.25,0.08,1
,7323884,5,0.343615,0.39,0.12,0.12,0.657,193,0.87,0.46,2
,7325401,5,0.418378,1.08,0.29,0.22,1.077,281,1.63,3.86,2
,7330156,5,0.347532,0.44,0.14,0.18,1.566,427,0.48,-0.82,1
,7336579,2,0.264885,0.41,0.14,0.19,1.197,533,-0.01,-0.81,1
,7337289,2,0.404116,0.42,0.13,0.18,1.417,552,-0.24,-0.89,1
,7337313,5,0.399406,0.54,0.17,0.22,1.632,534,0.73,-0.57,1
,7342731,5,0.254492,0.51,0.18,0.2,1.118,243,1.05,2.67,1
,7344401,2,0.330199,0.4,0.21,0.2,1.572,397,3.46,21.27,1
,7346463,5,0.253374,0.48,0.2,0.15,0.81,260,3.25,17.08,1
,7356971,5,0.255491,0.45,0.16,0.22,1.697,153,0.69,-0.81,1
,7357550,5,0.271754,0.49,0.16,0.22,1.426,206,0.56,-0.9,1
,7372492,1,0.629871,0.51,0.17,0.2,1.117,190,-0.15,-0.74,1
,7373205,5,0.343026,0.65,0.2,0.18,1.483,175,1.42,1.28,1
,7376901,2,0.355659,0.4,0.12,0.15,2.221,196,-0.4,-0.63,1
,7382400,1,0.485375,0.86,0.26,0.28,2.29,217,-0.87,-0.08,1
,7384383,5,0.257041,0.44,0.15,0.2,1.385,223,0.44,-0.85,1
,7386353,4,0.457589,0.63,0.19,0.15,0.514,179,1.46,1.82,1
,7386855,5,0.342661,0.43,0.16,0.2,1.765,241,0.48,-0.37,1
,7387202,5,0.408857,0.4,0.11,0.09,1.694,232,1.54,1.85,1
,7389657,4,0.642988,0.5,0.18,0.15,1.168,522,2.87,9.19,1
,7390345,4,0.870236,0.48,0.16,0.17,1.844,527,2.59,6.39,1
,7391221,2,0.347277,0.37,0.13,0.17,1.252,506,0.21,-1.25,1
,7394173,5,0.307129,0.49,0.16,0.22,2.079,511,0.92,-0.26,1
,7402949,5,0.28322,0.53,0.17,0.23,1.719,491,0.72,-0.74,1
,7402989,4,0.802916,1.34,0.5,0.4,2.059,492,3.05,10.37,1
,7405066,6,0.063348,0.72,0.24,0.31,1.643,544,-0.77,-0.5,1
,7405702,5,0.312832,0.38,0.12,0.15,2.388,489,0.32,-0.22,2
,7410527,5,0.249238,0.61,0.22,0.3,2.418,346,0.28,-1.17,1
,7410910,5,0.536529,0.37,0.1,0.09,1.455,151,-0.24,0.17,2
,7411446,1,0.54259,0.64,0.23,0.32,2.601,538,-0.24,-1.4,1
,7411461,1,0.467032,0.98,0.31,0.36,1.722,552,-0.56,-0.63,1
,7420913,2,0.350972,0.36,0.12,0.17,1.946,272,0.26,-1.37,1
,7435552,5,0.280718,0.56,0.17,0.14,0.701,194,1.38,0.99,2
,7435571,5,0.291271,0.38,0.12,0.15,1.328,121,0.2,-0.95,3
,7439187,2,0.342123,0.44,0.14,0.16,0.515,186,0.17,-0.53,1
,7439947,0,-9.9,0.43,0.16,0.16,1.106,40,1.0,0.22,1
,7440550,5,0.259001,0.47,0.16,0.2,0.597,190,0.83,0.79,1
,7443719,1,0.551276,0.77,0.23,0.25,2.662,220,-0.96,0.12,1
,7444130,5,0.284162,0.67,0.23,0.29,2.176,189,0.86,-0.64,1
,7449961,5,0.233152,0.34,0.11,0.15,0.984,562,0.52,-0.71,1
,7450622,5,0.249956,0.36,0.12,0.16,0.999,606,0.5,-0.91,1
,7455728,4,0.734176,0.32,0.11,0.14,2.219,513,1.92,4.03,2
,7455952,1,0.510714,0.86,0.32,0.32,1.387,504,1.22,8.29,1
,7471929,1,0.571067,0.69,0.22,0.28,2.288,641,-0.42,-0.96,1
,7475626,2,0.31753,0.37,0.13,0.17,1.93,680,0.11,-1.4,1
,7477110,1,0.587103,0.59,0.19,0.24,2.142,606,-0.26,-0.98,1
,7481696,4,0.72929,0.38,0.15,0.14,1.308,598,3.45,12.29,1
,7484655,5,0.461787,0.47,0.16,0.21,1.966,585,1.37,2.53,2
,7491132,2,0.307848,0.45,0.15,0.19,0.762,654,0.15,-0.61,1
,7510192,1,0.647053,0.6,0.19,0.25,1.66,561,-0.51,-0.73,1
,7510936,4,4.035444,0.36,0.11,0.15,1.801,579,2.08,4.07,1
,7519479,2,0.351012,0.43,0.14,0.18,0.934,560,0.09,-0.88,1
,7526955,6,0.070076,0.5,0.2,0.18,1.521,205,1.37,6.84,1
,7527829,2,0.362231,0.5,0.15,0.16,2.373,246,-0.62,-0.16,1
,7532224,5,0.25281,0.48,0.16,0.2,1.701,264,0.82,-0.48,1
,7535651,1,0.594803,0.75,0.28,0.3,1.964,263,0.37,5.68,1
,7539257,4,0.695616,0.53,0.16,0.1,1.616,277,2.43,5.82,2
,7543125,5,0.335968,0.65,0.22,0.29,2.513,285,0.73,-0.82,1
,7545954,1,0.555948,0.81,0.28,0.36,2.708,228,-0.67,-0.88,1
,7546570,1,0.655482,0.4,0.12,0.15,1.735,273,-0.56,-0.45,1
,7553128,1,0.622803,0.4,0.14,0.17,1.009,213,0.05,-1.03,1
,7555727,2,0.392965,0.41,0.16,0.19,1.154,260,1.15,3.51,1
,7559485,1,0.565148,0.69,0.21,0.22,1.078,234,-0.56,-0.03,1
,7562636,1,0.592825,0.8,0.28,0.37,2.164,237,-0.8,-0.77,1
,7567994,1,0.648395,0.7,0.21,0.25,1.166,245,-0.37,-0.63,1
,7568311,1,0.636487,0.45,0.14,0.16,0.976,252,0.05,0.62,1
