#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,11454283,2,0.354809,0.54,0.19,0.25,2.045,198,0.29,-1.16,1
,11456994,0,-9.9,0.38,0.12,0.15,2.421,157,0.07,-0.74,1
,11457648,2,0.402785,0.36,0.13,0.17,1.057,199,0.12,-1.38,1
,11457713,1,0.711225,0.61,0.2,0.23,0.91,211,-0.42,-0.56,1
,11462986,1,0.446928,0.89,0.31,0.29,1.967,192,0.46,6.54,1
,11464031,2,0.291607,0.46,0.16,0.2,1.737,197,0.13,-1.26,1
,11465701,1,0.605321,0.48,0.16,0.19,2.559,195,-0.54,-0.59,1
,11476683,2,0.366156,0.44,0.14,0.19,0.914,213,-0.35,-0.79,1
,11478686,5,0.283038,0.66,0.23,0.31,2.478,219,0.64,-0.83,1
,11485975,2,0.297571,0.51,0.18,0.22,1.093,219,-0.2,-0.77,1
,11488770,5,0.753638,0.38,0.12,0.15,1.946,258,0.18,-1.12,2
,11491234,1,0.597833,0.85,0.28,0.35,2.412,263,-0.8,-0.61,1
,11492977,1,0.567045,0.82,0.32,0.26,1.268,220,2.0,11.6,1
,11493311,5,0.272609,0.56,0.18,0.2,1.624,199,0.81,-0.05,1
,11493567,2,0.363647,0.5,0.17,0.22,2.286,225,-0.22,-1.33,1
,11496529,4,0.716561,0.51,0.15,0.08,1.251,158,1.91,2.6,2
,11496577,5,0.311566,0.42,0.15,0.19,1.4,93,0.16,-1.37,1
,11500384,1,0.54178,0.74,0.23,0.28,2.7,270,-0.64,-0.68,1
,11523200,0,-9.9,0.5,0.18,0.22,2.592,220,0.61,0.14,1
,11525189,1,0.664065,0.8,0.25,0.28,1.392,184,-0.49,-0.59,1
,11529554,1,0.747194,0.51,0.16,0.21,1.393,237,-0.04,-1.13,1
,11534086,1,0.701882,0.71,0.24,0.25,1.189,193,-0.01,0.53,1
,11541886,2,0.34445,0.48,0.15,0.19,0.998,208,0.32,-0.93,1
,11558557,5,0.273052,0.31,0.12,0.12,0.52,139,2.71,13.54,2
,11560980,5,0.279133,0.42,0.13,0.17,2.151,201,0.53,-0.78,1
,11563929,1,0.599074,0.53,0.18,0.24,1.766,236,-0.64,-0.73,1
,11564391,0,-9.9,0.63,0.19,0.19,0.481,210,-0.39,0.22,1
,11565203,5,0.313986,0.41,0.16,0.16,1.008,216,3.01,21.55,1
,11566522,1,0.646529,0.48,0.16,0.18,0.646,213,-0.23,0.09,2
,11570517,6,0.050057,0.32,0.11,0.14,1.585,189,-0.4,-0.97,1
,11570575,5,0.240092,0.44,0.14,0.16,1.875,220,0.49,-0.46,1
,11576958,5,0.226989,0.63,0.2,0.25,0.818,247,0.57,-0.54,1
,11588863,1,0.647482,0.65,0.21,0.27,1.657,217,-0.26,-1.1,1
,11591510,1,0.629311,0.38,0.19,0.14,1.095,223,6.34,71.67,1
,11596145,1,0.463331,0.9,0.31,0.4,2.412,227,-0.59,-0.91,1
,11597683,1,0.533547,0.78,0.25,0.29,1.67,263,-0.23,-0.29,1
,11601918,1,0.582548,0.69,0.22,0.28,1.081,217,-0.24,-0.88,1
,11602036,5,0.278169,0.53,0.18,0.22,0.668,239,0.48,-0.19,1
,11606824,5,0.508538,0.74,0.25,0.18,0.491,233,1.6,5.4,1
,11617953,5,0.30897,0.39,0.13,0.15,1.158,146,0.25,-0.38,1
,11626935,5,0.212847,0.68,0.23,0.31,1.318,201,0.59,-1.01,1
,11636398,2,0.386755,0.42,0.15,0.2,1.276,257,-0.09,-1.21,1
,11638070,2,0.316967,0.37,0.13,0.17,1.958,192,0.02,-1.19,1
,11644471,1,0.530134,0.36,0.11,0.13,1.83,226,-0.94,0.88,2
,11651280,5,0.244507,0.46,0.15,0.19,1.655,258,0.65,-0.79,1
,11652004,1,0.642493,0.78,0.26,0.3,1.993,209,-0.76,-0.72,1
,11657158,1,0.469653,0.74,0.23,0.24,1.535,87,-0.95,-0.14,1
,11663372,1,0.507345,0.68,0.22,0.24,1.845,242,-1.19,1.03,1
,11667249,2,0.33015,0.43,0.15,0.21,1.604,281,0.06,-1.51,1
,11667868,1,0.580084,0.59,0.19,0.23,1.685,248,-0.65,-0.02,1
,11670541,1,0.912769,0.48,0.16,0.19,1.04,69,-0.2,-1.16,3
,11672471,5,0.279811,0.52,0.19,0.25,1.529,81,0.7,-0.87,1
,11675090,1,0.47424,0.58,0.18,0.19,2.349,215,-0.23,-0.7,1
,11679196,4,0.572423,0.58,0.23,0.11,0.638,237,3.41,16.01,1
,11681432,2,0.360065,0.65,0.2,0.14,1.579,278,2.65,7.92,1
,11684132,1,0.547557,0.86,0.27,0.29,1.543,200,-0.42,-0.11,1
,11685766,0,-9.9,0.58,0.16,0.13,1.707,264,0.93,1.08,1
,11688186,1,0.625151,0.74,0.24,0.27,1.918,298,-0.69,-0.21,1
,11691676,5,0.330221,0.45,0.15,0.19,2.603,253,0.3,-0.99,1
,11691999,1,0.521376,0.48,0.16,0.14,2.26,183,-1.7,2.75,1
,11693233,1,0.532608,0.71,0.22,0.22,1.64,259,-0.87,0.25,1
,11693275,6,0.067066,0.42,0.13,0.15,0.604,177,-0.3,-0.66,1
,11697185,1,0.465064,0.54,0.17,0.19,1.234,233,-0.37,-0.48,2
,11699462,4,0.400826,0.36,0.11,0.13,0.877,216,1.53,1.39,1
,11705227,1,0.622637,0.46,0.15,0.17,1.796,163,-0.33,-1.04,1
,11708168,2,0.269339,0.44,0.16,0.19,1.328,193,-0.25,-1.25,1
,11710343,1,0.586652,0.62,0.2,0.25,1.162,185,-0.37,-0.99,1
,11714464,1,0.713833,0.63,0.28,0.23,1.43,193,4.27,36.22,1
,11721002,1,0.45779,1.05,0.47,0.41,2.246,195,1.73,8.16,1
,11722875,1,0.506938,0.85,0.27,0.32,1.813,206,-0.89,-0.15,1
,11726211,6,0.058006,0.51,0.16,0.17,0.652,201,-0.53,0.34,1
,11726604,1,0.53847,0.72,0.25,0.31,2.915,205,-0.89,-0.35,1
,11734279,5,0.281527,0.8,0.27,0.36,2.759,216,0.7,-0.88,1
,11739544,1,0.644569,0.53,0.17,0.22,2.35,278,-0.5,-0.73,1
,11741466,2,0.318954,0.41,0.14,0.18,0.788,233,0.08,-1.19,1
,11748489,1,0.618734,0.41,0.14,0.19,2.01,261,-0.17,-1.43,1
,11752199,5,0.419896,0.33,0.11,0.14,1.325,257,-0.02,-0.48,2
,11754294,2,0.269408,0.32,0.12,0.16,1.858,242,0.04,-1.46,1
,11760891,2,0.301996,0.3,0.11,0.14,1.935,254,0.15,-1.08,1
,11762571,2,0.36913,0.41,0.14,0.19,1.294,230,-0.09,-1.29,1
,11763086,2,0.400458,0.45,0.14,0.17,1.017,250,-0.35,-0.83,1
,11765907,2,0.427779,0.53,0.19,0.25,1.449,257,0.37,-0.1,1
,11779831,5,0.348938,0.39,0.14,0.14,0.88,244,1.54,4.35,1
,11780577,5,0.259431,0.74,0.24,0.29,1.157,211,0.89,-0.46,1
,11781491,1,0.541138,0.69,0.21,0.26,1.666,210,-0.48,-0.49,1
,11782815,2,0.349125,0.42,0.15,0.2,2.046,171,-0.41,-1.3,1
,11785270,5,0.338357,0.53,0.17,0.16,1.741,112,0.97,-0.11,1
,11789325,5,0.29142,0.61,0.2,0.22,0.649,238,0.8,0.74,1
,11790064,4,1.449418,0.45,0.13,0.08,1.566,233,2.42,5.47,1
